ENST00000628983	NM_012234
ENST00000216471	NM_001010860
ENST00000615523	NM_001322168
ENST00000615523	NM_013289
ENST00000002165	NM_032020
ENST00000392011	NM_014521
ENST00000532254	NM_001282524
ENST00000597252	NM_001102657
ENST00000262995	NM_207123
ENST00000397110	NM_182486
ENST00000262994	NM_002039
ENST00000337843	NM_031910
ENST00000255174	NM_016470
ENST00000367660	NM_021243
ENST00000287387	NM_018024
ENST00000523984	NM_001283024
ENST00000523984	NM_001283027
ENST00000390597	28457
ENST00000259818	NM_178012
ENST00000360614	NM_004793
ENST00000422689	NM_001145434
ENST00000593119	NM_001276479
ENST00000540670	NM_001276480
ENST00000064778	NM_001286050
ENST00000450446	NM_001286051
ENST00000327064	NM_199141
ENST00000356467	NM_015159
ENST00000394391	NM_020313
ENST00000567518	NM_001308347
ENST00000409021	NM_001099433
ENST00000371497	NM_173485
ENST00000603338	NM_001193421
ENST00000282924	NM_144720
ENST00000409831	NM_001306133
ENST00000410077	NM_001306134
ENST00000259396	NM_000607
ENST00000283946	NM_174899
ENST00000221855	NM_001281
ENST00000282388	NM_006887
ENST00000585746	NM_001300971
ENST00000297904	NM_004469
ENST00000278222	NM_006512
ENST00000426126	NM_015336
ENST00000262407	NM_000419
ENST00000361246	NM_006035
ENST00000374941	NM_006064
ENST00000255262	NM_020167
ENST00000262850	NM_016656
ENST00000421239	NM_001099694
ENST00000504123	NM_144571
ENST00000504123	NM_001286790
ENST00000316375	NM_173525
ENST00000311907	NM_001311257
ENST00000311907	NM_000506
ENST00000321027	NM_001201334
ENST00000321027	NM_003203
ENST00000392452	NM_178496
ENST00000330430	NM_005822
ENST00000371374	NM_001251974
ENST00000306764	NM_001251973
ENST00000470503	NM_001201335
ENST00000238379	NM_031219
ENST00000374180	NM_001304509
ENST00000374180	NM_001304510
ENST00000374180	NM_001304511
ENST00000308302	NM_198447
ENST00000395068	NM_001009184
ENST00000313269	NM_000837
ENST00000379161	NM_012345
ENST00000255681	NM_014067
ENST00000613465	NM_014218
ENST00000332312	NM_052846
ENST00000256062	NM_175861
ENST00000597597	NM_001277946
ENST00000539277	NM_001193451
ENST00000545872	NM_001277951
ENST00000408896	NM_012353
ENST00000446656	NM_058165
ENST00000315323	NM_001466
ENST00000556573	NM_001286389
ENST00000255008	NM_001052
ENST00000615704	NM_001286390
ENST00000301096	NM_001277947
ENST00000301096	NM_018300
ENST00000451188	NM_001137560
ENST00000243222	NM_000493
ENST00000536937	NM_001105550
ENST00000536937	NM_001105552
ENST00000536937	NM_001277948
ENST00000536937	NM_001105551
ENST00000536937	NM_001277945
ENST00000536937	NM_001277952
ENST00000536937	NM_001277949
ENST00000536937	NM_001105549
ENST00000632178	28481
ENST00000243578	NM_030578
ENST00000612571	NM_013289
ENST00000359653	NM_017580
ENST00000376810	NM_013319
ENST00000338230	NM_198457
ENST00000611088	NM_001135686
ENST00000427401	NM_001159293
ENST00000232974	NM_145166
ENST00000231188	NM_000843
ENST00000456772	NM_005527
ENST00000389362	NM_006248
ENST00000309683	NM_178558
ENST00000354914	NM_173833
ENST00000613773	NM_182761
ENST00000620555	NM_001163991
ENST00000544612	NM_017704
ENST00000357383	NM_000737
ENST00000616476	NM_001817
ENST00000447137	NM_001130022
ENST00000373615	NM_004789
ENST00000399300	NM_203390
ENST00000289707	NM_020125
ENST00000606380	NM_001276254
ENST00000328914	NM_001037165
ENST00000338588	NM_205855
ENST00000252809	NM_004864
ENST00000311127	NM_020733
ENST00000375120	NM_015207
ENST00000217133	NM_030773
ENST00000434335	NM_002119
ENST00000352210	NM_000309
ENST00000375980	NM_024329
ENST00000396976	NM_152455
ENST00000355173	NM_020836
ENST00000295824	NM_144715
ENST00000455693	NM_000746
ENST00000455693	NM_001190455
ENST00000367123	NM_001271872
ENST00000367999	NM_001122764
ENST00000368409	NM_005227
ENST00000429209	NM_001276501
ENST00000359751	NM_182690
ENST00000250055	NM_006942
ENST00000306318	NM_001485
ENST00000247020	NM_006923
ENST00000441705	NM_022107
ENST00000427683	NM_182689
ENST00000507606	NM_001130929
ENST00000551105	NM_001301687
ENST00000565261	NM_001271329
ENST00000443071	NM_001159531
ENST00000268485	NM_052858
ENST00000300087	NM_032486
ENST00000614662	NM_001083899
ENST00000614662	NM_016363
ENST00000554048	NM_001012729
ENST00000563998	NM_001199743
ENST00000299952	NM_001017967
ENST00000503362	NM_021928
ENST00000457092	NM_170769
ENST00000612096	NM_001256017
ENST00000395601	NM_021021
ENST00000409446	NM_001142654
ENST00000222969	NM_003910
ENST00000592014	NM_001077620
ENST00000448418	NM_001145399
ENST00000469257	NM_005801
ENST00000622245	NM_001135686
ENST00000270451	NM_016535
ENST00000568272	NM_001199011
ENST00000358117	NM_001584
ENST00000393897	NM_198448
ENST00000420562	NM_025236
ENST00000372876	NM_003192
ENST00000356950	NM_080593
ENST00000400549	NM_001037731
ENST00000591916	NM_001261430
ENST00000398477	NM_033032
ENST00000390278	28892
ENST00000521764	NM_199290
ENST00000272324	NM_001008387
ENST00000451885	NM_001142653
ENST00000620654	NM_001017438
ENST00000394836	NM_013401
ENST00000409471	NM_001270040
ENST00000301773	NM_001271686
ENST00000487338	NM_001204221
ENST00000330055	NM_000683
ENST00000257287	NM_025009
ENST00000405531	NM_001319247
ENST00000339986	NM_020394
ENST00000353151	NM_001302770
ENST00000353151	NM_001891
ENST00000389617	NM_001080393
ENST00000205636	NM_017801
ENST00000610985	NM_206818
ENST00000614003	NM_001282349
ENST00000423345	NM_032152
ENST00000307428	NM_015393
ENST00000616232	NM_133168
ENST00000616232	NM_001282350
ENST00000381967	NM_018290
ENST00000317735	NM_006583
ENST00000324616	NM_001031748
ENST00000611514	NM_013342
ENST00000426197	NM_001135240
ENST00000372204	NM_138812
ENST00000270792	NM_031286
ENST00000620707	NM_001135686
ENST00000372202	NM_001269053
ENST00000321613	NM_001099335
ENST00000410096	NM_001304344
ENST00000410096	NM_001304345
ENST00000410096	NM_020711
ENST00000620283	NM_130771
ENST00000620283	NM_133169
ENST00000264852	NM_001322294
ENST00000264852	NM_001322299
ENST00000264852	NM_017699
ENST00000458626	NM_001085375
ENST00000395384	NM_014298
ENST00000377482	NM_018948
ENST00000398344	NM_001084392
ENST00000425059	NM_001136152
ENST00000272321	NM_015910
ENST00000374213	NM_001803
ENST00000343666	NM_053045
ENST00000397283	NM_001009959
ENST00000316461	NM_173810
ENST00000257895	NM_002905
ENST00000257895	NM_001199771
ENST00000350608	NM_001355
ENST00000337147	NM_003379
ENST00000454243	NM_014759
ENST00000323534	NM_002886
ENST00000328596	NM_148901
ENST00000443397	28877
ENST00000458035	NM_138374
ENST00000341162	NM_015962
ENST00000368725	NM_001045479
ENST00000398544	NM_001042692
ENST00000367075	NM_001111077
ENST00000382365	NM_020364
ENST00000372080	NM_001807
ENST00000215886	NM_006498
ENST00000361566	NM_002276
ENST00000278550	NM_001098816
ENST00000420719	NM_001304346
ENST00000451025	NM_001003690
ENST00000530444	NM_001300803
ENST00000400613	NM_001012993
ENST00000622200	NM_001145971
ENST00000622200	NM_138412
ENST00000295121	NM_138458
ENST00000447331	NM_030652
ENST00000393830	NM_001308350
ENST00000619067	NM_001145457
ENST00000619067	NM_004829
ENST00000379268	NM_004195
ENST00000530735	NM_001318808
ENST00000617304	NM_001145458
ENST00000617304	NM_001242357
ENST00000612384	NM_001242356
ENST00000300399	NM_174932
ENST00000409164	NM_001256476
ENST00000415738	NM_001099403
ENST00000452015	NM_001276318
ENST00000379265	NM_148902
ENST00000372171	NM_014628
ENST00000339711	NM_020226
ENST00000545182	NM_001159727
ENST00000612199	NM_001271870
ENST00000301896	NM_001037225
ENST00000612924	NM_014516
ENST00000321691	NM_001038704
ENST00000402510	NM_020721
ENST00000374202	NM_000206
ENST00000261751	NM_000750
ENST00000266754	NM_001303130
ENST00000371806	NM_002003
ENST00000225941	NM_016428
ENST00000614210	NM_153443
ENST00000370766	NM_007131
ENST00000547754	NM_174942
ENST00000412074	NM_001256567
ENST00000502346	NM_174909
ENST00000419580	NM_001135186
ENST00000301141	NM_000762
ENST00000370764	NM_001185063
ENST00000280800	NM_173542
ENST00000340556	NM_001145450
ENST00000615453	NM_024298
ENST00000615453	NM_001146082
ENST00000304094	NM_014565
ENST00000306773	NM_002522
ENST00000621455	NM_001146083
ENST00000537247	NM_001303131
ENST00000612053	NM_001146056
ENST00000611419	NM_001135686
ENST00000584486	NM_001287385
ENST00000335895	NM_001207
ENST00000354728	NM_021027
ENST00000233630	NM_032673
ENST00000633010	28494
ENST00000609571	NM_001276282
ENST00000394752	NM_016329
ENST00000632968	28507
ENST00000260302	NM_002427
ENST00000358022	NM_001004125
ENST00000373555	NM_002077
ENST00000261980	NM_182894
ENST00000301659	NM_178171
ENST00000579146	NM_001291733
ENST00000293599	NM_001651
ENST00000380591	NM_001037637
ENST00000329654	NM_001297440
ENST00000329654	NM_001037341
ENST00000329654	NM_001297441
ENST00000359481	NM_002665
ENST00000341517	NM_002600
ENST00000339007	NM_145256
ENST00000306077	NM_024334
ENST00000281437	NM_003658
ENST00000423207	NM_001037340
ENST00000291554	NM_000394
ENST00000217159	NM_016354
ENST00000436607	NM_000500
ENST00000343304	NM_006369
ENST00000332374	NM_005951
ENST00000357640	NM_024901
ENST00000618378	NM_024298
ENST00000618378	NM_001146082
ENST00000369752	NM_001271833
ENST00000619745	NM_001146083
ENST00000611239	NM_001146056
ENST00000234396	NM_001692
ENST00000456935	NM_000528
ENST00000423620	NM_001122826
ENST00000221363	NM_001173498
ENST00000361713	NM_052997
ENST00000355044	NM_207303
ENST00000328771	NM_014681
ENST00000265070	NM_022130
ENST00000262498	NM_013242
ENST00000601440	NM_001076675
ENST00000578921	NM_006868
ENST00000397510	NM_001042463
ENST00000397510	NM_174940
ENST00000371045	NM_001037339
ENST00000335968	NM_152334
ENST00000291750	NM_145297
ENST00000300658	NM_033419
ENST00000306480	NM_001100389
ENST00000311672	NM_006004
ENST00000378011	NM_001291726
ENST00000526170	NM_001276274
ENST00000302763	NM_001323984
ENST00000302763	NM_001323983
ENST00000302763	NM_001903
ENST00000302763	NM_001290310
ENST00000302763	NM_001290309
ENST00000299964	NM_006169
ENST00000433091	NM_001018161
ENST00000457389	NM_001278119
ENST00000433389	NM_017697
ENST00000480109	NM_001297442
ENST00000470487	NM_014498
ENST00000358397	NM_001034915
ENST00000608174	NM_001276253
ENST00000397786	NM_005121
ENST00000309027	NM_001308155
ENST00000330236	NM_001278121
ENST00000330236	NM_006298
ENST00000330236	NM_001278122
ENST00000312293	NM_016725
ENST00000563630	NM_178167
ENST00000447248	NM_147130
ENST00000613156	NM_001304561
ENST00000454170	NM_001122825
ENST00000454170	NM_001122827
ENST00000429199	NM_001291728
ENST00000616398	NM_001040702
ENST00000433654	NM_001145466
ENST00000448877	NM_001128590
ENST00000322428	NM_032272
ENST00000393681	NM_016724
ENST00000418936	NM_001145467
ENST00000300651	NM_004774
ENST00000354419	NM_030615
ENST00000310127	NM_138813
ENST00000393676	NM_000802
ENST00000393676	NM_016729
ENST00000372003	NM_005727
ENST00000280357	NM_001562
ENST00000351261	NM_005355
ENST00000302981	NM_001002925
ENST00000367390	NM_001014434
ENST00000314133	NM_004074
ENST00000215790	NM_031937
ENST00000203407	NM_003365
ENST00000524595	NM_001243211
ENST00000614359	NM_003020
ENST00000614359	NM_001144757
ENST00000618751	NM_001013
ENST00000361354	NM_013436
ENST00000377939	NM_207396
ENST00000418511	NM_001146683
ENST00000633531	NM_000305
ENST00000374644	NM_001006943
ENST00000226951	NM_052964
ENST00000367387	NM_020204
ENST00000218867	NM_000231
ENST00000360982	NM_205842
ENST00000456860	NM_001286563
ENST00000361355	NM_020978
ENST00000260270	NM_004109
ENST00000419797	NM_005510
ENST00000618562	NM_005429
ENST00000611731	NM_001012416
ENST00000614097	NM_003523
ENST00000632457	28455
ENST00000331113	NM_012281
ENST00000529750	NM_020716
ENST00000332435	NM_170783
ENST00000448904	NM_001011705
ENST00000296456	NM_001640
ENST00000262365	NM_001137610
ENST00000425144	NM_006295
ENST00000299140	NM_001291992
ENST00000299140	NM_174927
ENST00000321935	NM_001284217
ENST00000525591	NM_001178002
ENST00000403477	NM_001204240
ENST00000393158	NM_025208
ENST00000603017	NM_033315
ENST00000377962	NM_007015
ENST00000400017	NM_020366
ENST00000529432	NM_001286564
ENST00000302251	NM_033135
ENST00000376782	NM_001278785
ENST00000368106	NM_001004310
ENST00000298466	NM_001012415
ENST00000550775	NM_001509
ENST00000355415	NM_174983
ENST00000602661	NM_001079802
ENST00000359374	NM_014596
ENST00000395385	NM_001001411
ENST00000381089	NM_016379
ENST00000315436	NM_018639
ENST00000425225	NM_001101677
ENST00000166244	NM_020526
ENST00000376785	NM_001278786
ENST00000551639	NM_003996
ENST00000441406	NM_001278557
ENST00000223528	NM_006731
ENST00000617923	NM_001017396
ENST00000375222	NM_080825
ENST00000376862	NM_024893
ENST00000373789	NM_145307
ENST00000448551	NM_001198963
ENST00000372338	NM_032843
ENST00000395260	NM_001282941
ENST00000328741	NM_007225
ENST00000396073	NM_031889
ENST00000627109	NM_001290307
ENST00000220478	NM_013243
ENST00000540387	NM_001290312
ENST00000321736	NM_001103176
ENST00000389395	NM_001287529
ENST00000616076	NM_014218
ENST00000260228	NM_004771
ENST00000375001	NM_001855
ENST00000389420	NM_025003
ENST00000442960	NM_019111
ENST00000561626	NM_001128636
ENST00000512467	NM_020768
ENST00000261884	NM_016213
ENST00000448616	NM_001145106
ENST00000233114	NM_001316374
ENST00000233114	NM_005917
ENST00000399139	NM_012130
ENST00000316073	NM_001122965
ENST00000575872	NM_018238
ENST00000399137	NM_144492
ENST00000399135	NM_001146079
ENST00000620215	NM_001123391
ENST00000164133	NM_006244
ENST00000542355	NM_001165257
ENST00000252482	NM_138568
ENST00000377803	NM_003542
ENST00000308022	NM_001078651
ENST00000308022	NM_025124
ENST00000375111	NM_001161727
ENST00000375111	NM_000300
ENST00000375111	NM_001161728
ENST00000490131	NM_000388
ENST00000399136	NM_001146078
ENST00000342108	NM_001146077
ENST00000460298	NM_014575
ENST00000407690	NM_012143
ENST00000636278	NM_015237
ENST00000544233	NM_001278558
ENST00000265388	NM_012470
ENST00000264670	NM_017755
ENST00000614034	NM_021088
ENST00000622524	NM_024075
ENST00000622524	NM_001077446
ENST00000325239	NM_020945
ENST00000611463	NM_001291604
ENST00000621169	NM_032099
ENST00000569961	NM_001291516
ENST00000332908	NM_182562
ENST00000451628	NM_001135590
ENST00000617380	NM_018925
ENST00000474069	NM_001128926
ENST00000622059	NM_001282398
ENST00000405938	NM_001008697
ENST00000400520	NM_001161729
ENST00000637152	NM_004745
ENST00000471234	NM_001191028
ENST00000371442	NM_006978
ENST00000378053	NM_013281
ENST00000539945	NM_001199111
ENST00000373808	NM_001127667
ENST00000373808	NM_001127666
ENST00000614734	NM_001282333
ENST00000611147	NM_001291605
ENST00000616209	NM_001282332
ENST00000544381	NM_001199112
ENST00000629778	NM_001146264
ENST00000629778	NM_001146261
ENST00000617299	NM_139320
ENST00000238714	NM_022894
ENST00000254950	NM_013245
ENST00000539125	NM_001164182
ENST00000539125	NM_001164183
ENST00000341420	NM_198391
ENST00000620917	NM_148911
ENST00000260315	NM_004347
ENST00000544301	NM_003380
ENST00000545875	NM_001172557
ENST00000381545	NM_019844
ENST00000422602	NM_001193523
ENST00000393877	NM_001078650
ENST00000444749	NM_001136109
ENST00000355630	NM_020831
ENST00000349258	NM_199263
ENST00000373036	NM_005955
ENST00000611357	NM_033467
ENST00000402042	NM_001282661
ENST00000284509	NM_024837
ENST00000407029	NM_001282660
ENST00000367385	NM_133494
ENST00000414015	NM_172016
ENST00000356260	NM_001288984
ENST00000356260	NM_018115
ENST00000342175	NM_133437
ENST00000455809	NM_001284401
ENST00000506139	NM_001193455
ENST00000258613	NM_018676
ENST00000378970	NM_000475
ENST00000418434	NM_001136110
ENST00000393141	NM_001136112
ENST00000395711	NM_001288983
ENST00000440824	NM_001517
ENST00000273037	NM_138807
ENST00000376447	NM_152573
ENST00000622658	NM_014219
ENST00000262982	NM_001316
ENST00000359218	NM_133432
ENST00000259782	NM_014464
ENST00000552950	NM_001199119
ENST00000360526	NM_001025195
ENST00000278927	NM_138961
ENST00000611679	NM_001174081
ENST00000568449	NM_001257370
ENST00000402357	NM_001082967
ENST00000547030	NM_021253
ENST00000611772	NM_017852
ENST00000619885	NM_001174082
ENST00000540870	NM_001185015
ENST00000371527	NM_001173488
ENST00000396192	NM_001256135
ENST00000258436	NM_032718
ENST00000393845	NM_001164496
ENST00000622444	NM_001174083
ENST00000445009	NM_001141969
ENST00000445009	NM_001254717
ENST00000445009	NM_001141970
ENST00000445009	NM_001350
ENST00000541814	NM_001185149
ENST00000610444	NM_023918
ENST00000496357	NM_003585
ENST00000541428	NM_001164750
ENST00000358295	NM_015381
ENST00000528972	NM_001282478
ENST00000358375	NM_133169
ENST00000268482	NM_014003
ENST00000313250	NM_021004
ENST00000351806	NM_133168
ENST00000535193	NM_001146696
ENST00000548925	NM_001487
ENST00000265384	NM_001170630
ENST00000538962	NM_001146109
ENST00000441825	NM_001139501
ENST00000441825	NM_001139502
ENST00000372389	NM_203290
ENST00000304449	NM_017544
ENST00000292357	NM_001080471
ENST00000485419	NM_001197113
ENST00000422046	NM_001266
ENST00000396617	NM_001282662
ENST00000476809	NM_001197114
ENST00000192314	NM_022134
ENST00000412423	NM_001197107
ENST00000527095	NM_001197108
ENST00000392901	NM_001258300
ENST00000542113	NM_001173487
ENST00000617605	NM_004048
ENST00000618196	NM_001318139
ENST00000359450	NM_004740
ENST00000635782	NM_152336
ENST00000361503	NM_001025194
ENST00000535650	NM_001257138
ENST00000420162	NM_001007530
ENST00000543580	NM_001271855
ENST00000545172	NM_001167749
ENST00000284648	NM_001282349
ENST00000536626	NM_001278606
ENST00000536626	NM_001278608
ENST00000558263	NM_001282987
ENST00000536122	NM_001286209
ENST00000635758	NM_001286107
ENST00000477515	NM_001012454
ENST00000370473	NM_002053
ENST00000344894	NM_014434
ENST00000406875	NM_022740
ENST00000523111	NM_003350
ENST00000374127	NM_170753
ENST00000615949	NM_001267607
ENST00000282032	NM_152316
ENST00000637551	NM_001286105
ENST00000617140	NM_130771
ENST00000428878	NM_001113239
ENST00000262942	NM_001190996
ENST00000262942	NM_006409
ENST00000616215	NM_001282350
ENST00000622647	NM_001214907
ENST00000611261	NM_206818
ENST00000383208	NM_001164267
ENST00000383208	NM_005452
ENST00000618298	NM_001282683
